package_pin,side,slot,function,direction,cell,rtl_signal,instance
P1,south,1,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[0].u_pad
P2,south,2,mgmt_clk,input,sg13g2_IOPadIn,mgmt_clk_i,u_mgmt_clk_pad
P3,south,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[0],u_gpio_pads[0].u_pad
P4,south,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[1],u_gpio_pads[1].u_pad
P5,south,5,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[0].u_pad
P6,south,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[2],u_gpio_pads[2].u_pad
P7,south,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[3],u_gpio_pads[3].u_pad
P8,south,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[4],u_gpio_pads[4].u_pad
P9,south,9,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[0].u_pad
P10,south,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[5],u_gpio_pads[5].u_pad
P11,south,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[6],u_gpio_pads[6].u_pad
P12,south,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[7],u_gpio_pads[7].u_pad
P13,south,13,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[0].u_pad
P14,south,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[8],u_gpio_pads[8].u_pad
P15,south,15,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[9],u_gpio_pads[9].u_pad
P16,south,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[10],u_gpio_pads[10].u_pad
P17,south,17,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[1].u_pad
P18,south,18,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[11],u_gpio_pads[11].u_pad
P19,south,19,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[12],u_gpio_pads[12].u_pad
P20,south,20,mgmt_rst_n,input,sg13g2_IOPadIn,mgmt_rst_n_i,u_mgmt_rst_n_pad
P21,south,21,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[1].u_pad
P22,south,22,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[13],u_gpio_pads[13].u_pad
P23,east,1,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[1].u_pad
P24,east,2,jtag_tck,input,sg13g2_IOPadIn,jtag_tck_i,u_jtag_tck_pad
P25,east,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[14],u_gpio_pads[14].u_pad
P26,east,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[15],u_gpio_pads[15].u_pad
P27,east,5,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[1].u_pad
P28,east,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[16],u_gpio_pads[16].u_pad
P29,east,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[17],u_gpio_pads[17].u_pad
P30,east,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[18],u_gpio_pads[18].u_pad
P31,east,9,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[2].u_pad
P32,east,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[19],u_gpio_pads[19].u_pad
P33,east,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[20],u_gpio_pads[20].u_pad
P34,east,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[21],u_gpio_pads[21].u_pad
P35,east,13,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[2].u_pad
P36,east,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[22],u_gpio_pads[22].u_pad
P37,east,15,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[23],u_gpio_pads[23].u_pad
P38,east,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[24],u_gpio_pads[24].u_pad
P39,east,17,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[2].u_pad
P40,east,18,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[25],u_gpio_pads[25].u_pad
P41,east,19,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[26],u_gpio_pads[26].u_pad
P42,east,20,jtag_tms,input,sg13g2_IOPadIn,jtag_tms_i,u_jtag_tms_pad
P43,east,21,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[2].u_pad
P44,east,22,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[27],u_gpio_pads[27].u_pad
P45,north,1,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[3].u_pad
P46,north,2,jtag_tdi,input,sg13g2_IOPadIn,jtag_tdi_i,u_jtag_tdi_pad
P47,north,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[28],u_gpio_pads[28].u_pad
P48,north,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[29],u_gpio_pads[29].u_pad
P49,north,5,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[3].u_pad
P50,north,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[30],u_gpio_pads[30].u_pad
P51,north,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[31],u_gpio_pads[31].u_pad
P52,north,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[32],u_gpio_pads[32].u_pad
P53,north,9,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[3].u_pad
P54,north,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[33],u_gpio_pads[33].u_pad
P55,north,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[34],u_gpio_pads[34].u_pad
P56,north,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[35],u_gpio_pads[35].u_pad
P57,north,13,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[3].u_pad
P58,north,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[36],u_gpio_pads[36].u_pad
P59,north,15,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[37],u_gpio_pads[37].u_pad
P60,north,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[38],u_gpio_pads[38].u_pad
P61,north,17,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[4].u_pad
P62,north,18,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[39],u_gpio_pads[39].u_pad
P63,north,19,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[40],u_gpio_pads[40].u_pad
P64,north,20,jtag_tdo,output,sg13g2_IOPadOut30mA,jtag_tdo_o,u_jtag_tdo_pad
P65,north,21,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[4].u_pad
P66,north,22,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[41],u_gpio_pads[41].u_pad
P67,west,1,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[4].u_pad
P68,west,2,uart_rx,input,sg13g2_IOPadIn,uart_rx_i,u_uart_rx_pad
P69,west,3,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[42],u_gpio_pads[42].u_pad
P70,west,4,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[43],u_gpio_pads[43].u_pad
P71,west,5,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[4].u_pad
P72,west,6,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[44],u_gpio_pads[44].u_pad
P73,west,7,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[45],u_gpio_pads[45].u_pad
P74,west,8,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[46],u_gpio_pads[46].u_pad
P75,west,9,IOVDD,power,sg13g2_IOPadIOVdd,IOVDD,u_iovdd_pads[5].u_pad
P76,west,10,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[47],u_gpio_pads[47].u_pad
P77,west,11,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[48],u_gpio_pads[48].u_pad
P78,west,12,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[49],u_gpio_pads[49].u_pad
P79,west,13,IOVSS,ground,sg13g2_IOPadIOVss,IOVSS,u_iovss_pads[5].u_pad
P80,west,14,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[50],u_gpio_pads[50].u_pad
P81,west,15,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[51],u_gpio_pads[51].u_pad
P82,west,16,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[52],u_gpio_pads[52].u_pad
P83,west,17,VDD,power,sg13g2_IOPadVdd,VDD,u_vdd_pads[5].u_pad
P84,west,18,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[53],u_gpio_pads[53].u_pad
P85,west,19,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[54],u_gpio_pads[54].u_pad
P86,west,20,uart_tx,output,sg13g2_IOPadOut30mA,uart_tx_o,u_uart_tx_pad
P87,west,21,VSS,ground,sg13g2_IOPadVss,VSS,u_vss_pads[5].u_pad
P88,west,22,GPIO,inout,sg13g2_IOPadInOut30mA,gpio[55],u_gpio_pads[55].u_pad
